id,type,arabe,translitteration,a_dire,unite,fichier
76,letter,"فُ","fou","Lettre Fā — son « fou »",2,items/76.mp3
77,letter,"قُ","qou","Lettre Qāf — son « qou »",2,items/77.mp3
78,letter,"كُ","kou","Lettre Kāf — son « kou »",2,items/78.mp3
79,letter,"لُ","lou","Lettre Lām — son « lou »",2,items/79.mp3
80,letter,"مُ","mou","Lettre Mīm — son « mou »",2,items/80.mp3
81,letter,"نُ","nou","Lettre Nūn — son « nou »",2,items/81.mp3
82,letter,"هُ","hou","Lettre Hā — son « hou »",2,items/82.mp3
83,letter,"وُ","wou","Lettre Wāw — son « wou »",2,items/83.mp3
84,letter,"يُ","you","Lettre Yā — son « you »",2,items/84.mp3
85,word,"مِنْ","min","soukoûne sur le « n » — « de »",2,items/85.mp3
86,word,"قَدْ","qad","soukoûne sur le « d » — « déjà »",2,items/86.mp3
87,word,"هَلْ","hal","soukoûne sur le « l » — « est-ce que »",2,items/87.mp3
88,word,"كَمْ","kam","soukoûne sur le « m » — « combien »",2,items/88.mp3
89,word,"قُلْ","qoul","soukoûne sur le « l » — « dis »",2,items/89.mp3
90,word,"عَنْ","ʿan","soukoûne sur le « n » — « au sujet de »",2,items/90.mp3
91,letter,"بَ","ba","Se lit « ba »",2,items/91.mp3
92,letter,"بِ","bi","Se lit « bi »",2,items/92.mp3
93,letter,"بُ","bou","Se lit « bou »",2,items/93.mp3
94,letter,"تَ","ta","Se lit « ta »",2,items/94.mp3
95,letter,"تِ","ti","Se lit « ti »",2,items/95.mp3
96,letter,"تُ","tou","Se lit « tou »",2,items/96.mp3
97,word,"بَا","bâ","Allongement : « bâ »",3,items/97.mp3
98,word,"تَا","tâ","Allongement : « tâ »",3,items/98.mp3
99,word,"جَا","jâ","Allongement : « jâ »",3,items/99.mp3
100,word,"دَا","dâ","Allongement : « dâ »",3,items/100.mp3
101,word,"رَا","râ","Allongement : « râ »",3,items/101.mp3
102,word,"سَا","sâ","Allongement : « sâ »",3,items/102.mp3
103,word,"لَا","lâ","Allongement : « lâ »",3,items/103.mp3
104,word,"مَا","mâ","Allongement : « mâ »",3,items/104.mp3
105,word,"نَا","nâ","Allongement : « nâ »",3,items/105.mp3
106,word,"كَا","kâ","Allongement : « kâ »",3,items/106.mp3
107,word,"بِي","bî","Allongement : « bî »",3,items/107.mp3
108,word,"تِي","tî","Allongement : « tî »",3,items/108.mp3
109,word,"جِي","jî","Allongement : « jî »",3,items/109.mp3
110,word,"دِي","dî","Allongement : « dî »",3,items/110.mp3
111,word,"رِي","rî","Allongement : « rî »",3,items/111.mp3
112,word,"سِي","sî","Allongement : « sî »",3,items/112.mp3
113,word,"لِي","lî","Allongement : « lî »",3,items/113.mp3
114,word,"مِي","mî","Allongement : « mî »",3,items/114.mp3
115,word,"نِي","nî","Allongement : « nî »",3,items/115.mp3
116,word,"كِي","kî","Allongement : « kî »",3,items/116.mp3
117,word,"بُو","boû","Allongement : « boû »",3,items/117.mp3
118,word,"تُو","toû","Allongement : « toû »",3,items/118.mp3
119,word,"جُو","joû","Allongement : « joû »",3,items/119.mp3
120,word,"دُو","doû","Allongement : « doû »",3,items/120.mp3
121,word,"رُو","roû","Allongement : « roû »",3,items/121.mp3
122,word,"سُو","soû","Allongement : « soû »",3,items/122.mp3
123,word,"لُو","loû","Allongement : « loû »",3,items/123.mp3
124,word,"مُو","moû","Allongement : « moû »",3,items/124.mp3
125,word,"نُو","noû","Allongement : « noû »",3,items/125.mp3
126,word,"كُو","koû","Allongement : « koû »",3,items/126.mp3
127,word,"بَا","bâ","Se lit « bâ »",3,items/127.mp3
128,word,"بِي","bî","Se lit « bî »",3,items/128.mp3
129,word,"بُو","boû","Se lit « boû »",3,items/129.mp3
130,word,"نَا","nâ","Se lit « nâ »",3,items/130.mp3
131,word,"نِي","nî","Se lit « nî »",3,items/131.mp3
132,word,"نُو","noû","Se lit « noû »",3,items/132.mp3
133,word,"بًا","bane","Tanwîn : « bane »",4,items/133.mp3
134,word,"تًا","tane","Tanwîn : « tane »",4,items/134.mp3
135,word,"جًا","jane","Tanwîn : « jane »",4,items/135.mp3
136,word,"دًا","dane","Tanwîn : « dane »",4,items/136.mp3
137,word,"رًا","rane","Tanwîn : « rane »",4,items/137.mp3
138,word,"سًا","sane","Tanwîn : « sane »",4,items/138.mp3
139,word,"لًا","lane","Tanwîn : « lane »",4,items/139.mp3
140,word,"مًا","mane","Tanwîn : « mane »",4,items/140.mp3
141,word,"نًا","nane","Tanwîn : « nane »",4,items/141.mp3
142,word,"كًا","kane","Tanwîn : « kane »",4,items/142.mp3
143,word,"بٍ","bine","Tanwîn : « bine »",4,items/143.mp3
144,word,"تٍ","tine","Tanwîn : « tine »",4,items/144.mp3
145,word,"جٍ","jine","Tanwîn : « jine »",4,items/145.mp3
146,word,"دٍ","dine","Tanwîn : « dine »",4,items/146.mp3
147,word,"رٍ","rine","Tanwîn : « rine »",4,items/147.mp3
148,word,"سٍ","sine","Tanwîn : « sine »",4,items/148.mp3
149,word,"لٍ","line","Tanwîn : « line »",4,items/149.mp3
150,word,"مٍ","mine","Tanwîn : « mine »",4,items/150.mp3
151,word,"نٍ","nine","Tanwîn : « nine »",4,items/151.mp3
152,word,"كٍ","kine","Tanwîn : « kine »",4,items/152.mp3
153,word,"بٌ","boune","Tanwîn : « boune »",4,items/153.mp3
154,word,"تٌ","toune","Tanwîn : « toune »",4,items/154.mp3
155,word,"جٌ","joune","Tanwîn : « joune »",4,items/155.mp3
156,word,"دٌ","doune","Tanwîn : « doune »",4,items/156.mp3
157,word,"رٌ","roune","Tanwîn : « roune »",4,items/157.mp3
158,word,"سٌ","soune","Tanwîn : « soune »",4,items/158.mp3
159,word,"لٌ","loune","Tanwîn : « loune »",4,items/159.mp3
160,word,"مٌ","moune","Tanwîn : « moune »",4,items/160.mp3
161,word,"نٌ","noune","Tanwîn : « noune »",4,items/161.mp3
162,word,"كٌ","koune","Tanwîn : « koune »",4,items/162.mp3
163,word,"بًا","bane","Se lit « bane »",4,items/163.mp3
164,word,"بٍ","bine","Se lit « bine »",4,items/164.mp3
165,word,"بٌ","boune","Se lit « boune »",4,items/165.mp3
166,word,"نًا","nane","Se lit « nane »",4,items/166.mp3
167,word,"نٍ","nine","Se lit « nine »",4,items/167.mp3
168,word,"نٌ","noune","Se lit « noune »",4,items/168.mp3
169,word,"٠","sifr","0 — صِفْر",6,items/169.mp3
170,word,"١","wâḥid","1 — وَاحِد",6,items/170.mp3
171,word,"٢","ithnân","2 — اثْنَان",6,items/171.mp3
172,word,"٣","thalâtha","3 — ثَلَاثَة",6,items/172.mp3
173,word,"٤","arbaʿa","4 — أَرْبَعَة",6,items/173.mp3
174,word,"٥","khamsa","5 — خَمْسَة",6,items/174.mp3
175,word,"٦","sitta","6 — سِتَّة",6,items/175.mp3
176,word,"٧","sabʿa","7 — سَبْعَة",6,items/176.mp3
177,word,"٨","thamâniya","8 — ثَمَانِيَة",6,items/177.mp3
178,word,"٩","tisʿa","9 — تِسْعَة",6,items/178.mp3
179,word,"إِنَّ","inna","chadda sur le « n » — prolongé",5,items/179.mp3
180,word,"ثُمَّ","thumma","chadda sur le « m » — prolongé",5,items/180.mp3
181,word,"حَقَّ","ḥaqqa","chadda sur le « q »",5,items/181.mp3
182,word,"خَرَّ","kharra","chadda sur le « r »",5,items/182.mp3
183,word,"مَدَّ","madda","chadda sur le « d »",5,items/183.mp3
184,word,"ضَلَّ","ḍalla","chadda sur le « l »",5,items/184.mp3
185,word,"عَلَى","ʿalâ","le ى final se lit « â »",5,items/185.mp3
186,word,"إِلَى","ilâ","le ى final se lit « â »",5,items/186.mp3
187,word,"مُوسَى","mûsâ","le ى final se lit « â »",5,items/187.mp3
188,word,"رَمَى","ramâ","le ى final se lit « â »",5,items/188.mp3
189,word,"ٱلْحَمْدُ","al-ḥamdu","lue « a » devant un lâm",5,items/189.mp3
190,word,"ٱهْدِنَا","ihdinâ","lue « i » (3ᵉ lettre kasra/fatha)",5,items/190.mp3
191,word,"ٱنْظُرْ","ounẓur","lue « ou » (3ᵉ lettre dhômma)",5,items/191.mp3
192,word,"ٱمْشُوا","imchoû","exception : lue « i » malgré la dhômma",5,items/192.mp3
193,word,"ٱلْقَمَر","al-qamar","lunaire : on entend le « l »",5,items/193.mp3
194,word,"ٱلْأَمْر","al-amr","lunaire : on entend le « l »",5,items/194.mp3
195,word,"ٱلشَّمْس","ach-chams","solaire : le « l » disparaît, lettre redoublée",5,items/195.mp3
196,word,"ٱلرَّحْمَٰن","ar-raḥmân","solaire : le « l » disparaît",5,items/196.mp3
197,word,"ٱلصِّرَاط","aṣ-ṣirâṭ","solaire",5,items/197.mp3
198,word,"ٱلطَّيْر","aṭ-ṭayr","solaire",5,items/198.mp3
